,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
8581,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-1-6-completo-737257218,vwvolkswagen,34800,pickup,saveiro,manual,2013,108000,1.6,flex,hidráulica,branco,0.0,0.0,0.0,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8582,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-1-6-flex-cab-estendida-2013-737770162,vwvolkswagen,28500,passeio,saveiro,manual,2013,79800,1.6,flex,hidráulica,branco,sim,saveiro trooper 1.6 mi total flex 8v ce,2 portas,0.0,"vidro elétrico, direção hidráulica",0
8583,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-2013-709786909,vwvolkswagen,30000,vanutilitário,saveiro,manual,2013,120000,1.6,flex,hidráulica,cinza,sim,saveiro trooper 1.6 mi total flex 8v ce,2 portas,0.0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8584,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-2013-759895434,vwvolkswagen,31500,pickup,saveiro,manual,2013,11111111,1.6,flex,hidráulica,branco,sim,saveiro trooper 1.6 mi total flex 8v ce,2 portas,de leilão,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8585,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-734617819,vwvolkswagen,32000,pickup,saveiro,manual,2013,95000,1.6,flex,hidráulica,branco,sim,saveiro trooper 1.6 mi total flex 8v ce,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
8586,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-739154344,vwvolkswagen,32000,pickup,saveiro,manual,2013,130000,1.6,flex,hidráulica,branco,não,saveiro trooper 1.6 mi total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
8587,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-trooper-760606283,vwvolkswagen,31500,vanutilitário,saveiro,manual,2013,102500,1.6,flex,hidráulica,prata,sim,saveiro trooper 1.6 mi total flex 8v,2 portas,0.0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8588,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-troper-751256849,vwvolkswagen,33700,pickup,saveiro,manual,2013,119,1.6,flex,hidráulica,branco,sim,saveiro trooper 1.6 mi total flex 8v ce,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
8589,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-troper-752880167,vwvolkswagen,27800,passeio,saveiro,manual,2013,104000,1.6,flex,hidráulica,branco,sim,saveiro trooper 1.6 mi total flex 8v,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8590,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro1-6-otimo-estado-735821684,vwvolkswagen,27000,pickup,saveiro,manual,2014,111000,1.6,flex,hidráulica,branco,não,saveiro trendline 1.6 t.flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, direção hidráulica",0
8591,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_savero-g6-751371763,vwvolkswagen,50000,0.0,saveiro,manual,2015,53000,1.6,flex,hidráulica,0.0,não,saveiro 1.6 mi total flex 8v ce,0.0,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré",0
8592,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_so-vendo-752169514,ford,25900,hatch,focus,manual,2013,55,1.6,flex,0.0,prata,não,focus sedan 1.6 1.6 flex 8v 16v 4p mec.,4 portas,de leilão,0.0,0
8593,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_so-vendo-ford-ka-759802819,ford,37500,hatch,ka,manual,2017,78000,1.5,flex,elétrica,branco,não,ka sel 1.5 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",0
8594,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_somaco-vw-golf-1-6-comfortline-2015-2016-com-83-mil-km-rodado-761531250,vwvolkswagen,59900,hatch,golf,automático,2016,83000,1.6,flex,hidráulica,branco,0.0,golf comfortline 1.6 msi total flex aut.,4 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
8595,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_somaco-vw-prisma-1-4-lt-2018-2019-com-32-mil-km-rodado-na-garantia-de-fabrica-759475780,gmchevrolet,50900,sedã,prisma,manual,2019,32000,1.4,flex,hidráulica,branco,0.0,prisma sed. lt 1.4 8v flexpower 4p,4 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
8596,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_somaco-vw-virtus-1-6-msi-manual-2018-2019-com-13-mil-km-rodado-761527341,vwvolkswagen,57900,sedã,virtus,manual,2019,13000,1.6,flex,hidráulica,branco,0.0,virtus 1.6 msi flex 16v 5p mec.,4 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
8597,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_somaco-vw-voyage-1-6-msi-aut-2018-2019-com-17-mil-km-rodado-top-744884221,vwvolkswagen,52900,sedã,voyage,automático,2019,17000,1.6,flex,hidráulica,preto,0.0,voyage 1.6 msi flex 16v 4p aut,4 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
